"education_summary_put_code","education_summary_department_name","education_summary_role_title","education_summary_url","education_summary_external_ids","education_summary_display_index","education_summary_visibility","education_summary_path","education_summary_created_date_value","education_summary_last_modified_date_value","education_summary_source_source_client_id","education_summary_source_assertion_origin_orcid","education_summary_source_assertion_origin_client_id","education_summary_source_assertion_origin_name","education_summary_source_source_orcid_uri","education_summary_source_source_orcid_path","education_summary_source_source_orcid_host","education_summary_source_source_name_value","education_summary_start_date_day","education_summary_start_date_year_value","education_summary_start_date_month_value","education_summary_end_date_day","education_summary_end_date_year_value","education_summary_end_date_month_value","education_summary_organization_name","education_summary_organization_address_city","education_summary_organization_address_region","education_summary_organization_address_country","education_summary_organization_disambiguated_organization_disambiguated_organization_identifier","education_summary_organization_disambiguated_organization_disambiguation_source","education_summary_organization_disambiguated_organization","education_summary_start_date_day_value","education_summary_end_date_day_value","education_summary_start_date_month","education_summary_end_date_month","education_summary_start_date","education_summary_end_date","education_summary_url_value","ORCID"
9054214,"Center for Biomedical Technology (CTB)","PhD in Biomedical Engineering",NA,NA,"1","public","/0000-0001-5872-8924/education/9054214",2019-11-05,2019-11-05,NA,NA,NA,NA,"https://orcid.org/0000-0001-5872-8924","0000-0001-5872-8924","orcid.org","Guiomar Niso",NA,"2008",NA,NA,"2013","12","Universidad Politécnica de Madrid (UPM)","Madrid","Madrid","ES",NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,"0000-0001-5872-8924"
9054272,NA,"MSc in Bioengineering and Telemedicine",NA,NA,"1","public","/0000-0001-5872-8924/education/9054272",2019-11-05,2019-11-05,NA,NA,NA,NA,"https://orcid.org/0000-0001-5872-8924","0000-0001-5872-8924","orcid.org","Guiomar Niso",NA,"2008",NA,NA,"2009",NA,"Universidad Politécnica de Madrid (UPM)","Madrid","Madrid","ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0001-5872-8924"
13674106,"Department of Basic Psychological Research and Research Methods","PhD",NA,NA,"1","public","/0000-0002-0475-6927/education/13674106",2021-01-08,2021-01-08,NA,NA,NA,NA,"https://orcid.org/0000-0002-0475-6927","0000-0002-0475-6927","orcid.org","Christoph Huber-Huber",NA,"2012",NA,NA,"2016",NA,"University of Vienna","Vienna",NA,"AT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-0475-6927"
14717216,"School of Psychology","MSc in Cognitive Science",NA,NA,"1","public","/0000-0002-4606-4179/education/14717216",2021-05-05,2021-05-06,NA,NA,NA,NA,"https://orcid.org/0000-0002-4606-4179","0000-0002-4606-4179","orcid.org","Evgenii Kalenkovich",NA,"2015","09",NA,"2017","06","HSE University","Moscow",NA,"RU",NA,NA,NA,"01","30",NA,NA,NA,NA,"https://www.hse.ru/en/","0000-0002-4606-4179"
14717208,"Faculty of Mathematics and Physics","MSc in Financial and Actuarial Mathematics",NA,NA,"1","public","/0000-0002-4606-4179/education/14717208",2021-05-05,2021-05-06,NA,NA,NA,NA,"https://orcid.org/0000-0002-4606-4179","0000-0002-4606-4179","orcid.org","Evgenii Kalenkovich",NA,"2008","10",NA,"2010","09","Charles University","Prague",NA,"CZ","grid.4491.8","GRID",NA,"01","15",NA,NA,NA,NA,"https://www.mff.cuni.cz/en","0000-0002-4606-4179"
14717205,"Faculty of Mathematics and Physics","BSc in Financial Mathematics",NA,NA,"1","public","/0000-0002-4606-4179/education/14717205",2021-05-05,2021-05-06,NA,NA,NA,NA,"https://orcid.org/0000-0002-4606-4179","0000-0002-4606-4179","orcid.org","Evgenii Kalenkovich",NA,"2005","10",NA,"2008","09","Charles University","Prague",NA,"CZ","grid.4491.8","GRID",NA,"01","15",NA,NA,NA,NA,"https://www.mff.cuni.cz/en","0000-0002-4606-4179"
15589920,NA,"PhD",NA,NA,"1","public","/0000-0002-5529-1998/education/15589920",2021-08-20,2021-08-20,NA,NA,NA,NA,"https://orcid.org/0000-0002-5529-1998","0000-0002-5529-1998","orcid.org","Dominik Welke",NA,"2018",NA,NA,NA,NA,"Technical University of Berlin","Berlin",NA,"DE","grid.6734.6","GRID",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-5529-1998"
15589909,"Neuroscience","PhD",NA,NA,"1","public","/0000-0002-5529-1998/education/15589909",2021-08-20,2021-08-20,NA,NA,NA,NA,"https://orcid.org/0000-0002-5529-1998","0000-0002-5529-1998","orcid.org","Dominik Welke",NA,"2018",NA,NA,NA,NA,"Max Planck Institute for Empirical Aesthetics","Frankfurt am Main",NA,"DE","grid.461782.e","GRID",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-5529-1998"
9942379,NA,"M.Sc. Biology / Neuroscience",NA,NA,"1","public","/0000-0002-5529-1998/education/9942379",2020-03-03,2020-03-03,NA,NA,NA,NA,"https://orcid.org/0000-0002-5529-1998","0000-0002-5529-1998","orcid.org","Dominik Welke",NA,"2013","10",NA,"2016","04","University of Freiburg","Freiburg","Baden-Württemberg","DE","grid.5963.9","GRID",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-5529-1998"
9942419,"Biological Anthropology, Earth Science, Philosophy","free studies",NA,NA,"1","public","/0000-0002-5529-1998/education/9942419",2020-03-03,2020-03-03,NA,NA,NA,NA,"https://orcid.org/0000-0002-5529-1998","0000-0002-5529-1998","orcid.org","Dominik Welke",NA,"2012","10",NA,"2013","09","University of Vienna","Vienna",NA,"AT","grid.10420.37","GRID",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-5529-1998"
