"employment_summary_put_code","employment_summary_department_name","employment_summary_role_title","employment_summary_end_date","employment_summary_url","employment_summary_external_ids","employment_summary_display_index","employment_summary_visibility","employment_summary_path","employment_summary_created_date_value","employment_summary_last_modified_date_value","employment_summary_source_source_client_id","employment_summary_source_assertion_origin_orcid","employment_summary_source_assertion_origin_client_id","employment_summary_source_assertion_origin_name","employment_summary_source_source_orcid_uri","employment_summary_source_source_orcid_path","employment_summary_source_source_orcid_host","employment_summary_source_source_name_value","employment_summary_start_date_year_value","employment_summary_start_date_month_value","employment_summary_start_date_day_value","employment_summary_organization_name","employment_summary_organization_address_city","employment_summary_organization_address_region","employment_summary_organization_address_country","employment_summary_organization_disambiguated_organization_disambiguated_organization_identifier","employment_summary_organization_disambiguated_organization_disambiguation_source","employment_summary_start_date","employment_summary_source_source_orcid","employment_summary_source_source_client_id_uri","employment_summary_source_source_client_id_path","employment_summary_source_source_client_id_host","employment_summary_end_date_year_value","employment_summary_end_date_month_value","employment_summary_end_date_day_value","employment_summary_start_date_day","employment_summary_end_date_day","employment_summary_organization_disambiguated_organization","employment_summary_url_value","employment_summary_start_date_month","employment_summary_end_date_month","ORCID"
6486196,"Psicobiología","Researcher",NA,NA,NA,"1","public","/0000-0002-8267-9816/employment/6486196",2018-09-25,2018-09-25,NA,NA,NA,NA,"https://orcid.org/0000-0002-8267-9816","0000-0002-8267-9816","orcid.org","Sara Álvarez Solas","2007","10","23","Universidad Complutense de Madrid","Madrid","Comunidad de Madrid","ES","16734","RINGGOLD",NA,NA,NA,NA,NA,"2009","12","31",NA,NA,NA,NA,NA,NA,"0000-0002-8267-9816"
6486219,NA,"Environment educator (monitor)",NA,NA,NA,"1","public","/0000-0002-8267-9816/employment/6486219",2018-09-25,2018-09-25,NA,NA,NA,NA,"https://orcid.org/0000-0002-8267-9816","0000-0002-8267-9816","orcid.org","Sara Álvarez Solas","2006","06",NA,"Parque Biológico de Madrid","Madrid",NA,"ES","202573","RINGGOLD",NA,NA,NA,NA,NA,"2006","10","14",NA,NA,NA,NA,NA,NA,"0000-0002-8267-9816"
5752205,"School of Psychology","Lecturer",NA,NA,NA,"0","public","/0000-0001-7295-8021/employment/5752205",2018-04-28,2018-04-28,NA,NA,NA,NA,"https://orcid.org/0000-0001-7295-8021","0000-0001-7295-8021","orcid.org","Rachel A. Searston","2018","05","21","The University of Adelaide","Adelaide","South Australia","AU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0001-7295-8021"
3155150,"Centre for the Study of Higher Education","McKenzie Postdoctoral Research Fellow",NA,NA,NA,"0","public","/0000-0001-7295-8021/employment/3155150",2017-02-08,2017-02-08,NA,NA,NA,NA,"https://orcid.org/0000-0001-7295-8021","0000-0001-7295-8021","orcid.org","Rachel A. Searston","2017","01",NA,"University of Melbourne","Melbourne","VIC","AU","2281","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0001-7295-8021"
2177701,"School of Psychology","Postdoctoral Research Fellow",NA,NA,NA,"1","public","/0000-0001-7295-8021/employment/2177701",2016-08-26,2018-10-03,NA,NA,NA,NA,"https://orcid.org/0000-0001-7295-8021","0000-0001-7295-8021","orcid.org","Rachel A. Searston","2016","01","01","The University of Queensland","Brisbane","QLD","AU","1974","RINGGOLD",NA,NA,NA,NA,NA,"2017","01",NA,NA,NA,NA,NA,NA,NA,"0000-0001-7295-8021"
8397755,"School of Psychology","Senior Lecturer",NA,NA,NA,"1","public","/0000-0003-0443-3412/employment/8397755",2019-08-05,2019-08-21,NA,NA,NA,NA,"https://orcid.org/0000-0003-0443-3412","0000-0003-0443-3412","orcid.org","Clare AM Sutherland","2019","08","01","University of Aberdeen","Aberdeen","Scotland","GB","1019","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://abdn.pure.elsevier.com/en/persons/clare-ann-marie-sutherland",NA,NA,"0000-0003-0443-3412"
1466309,"School of Psychology","Research Fellow",NA,NA,NA,"1","public","/0000-0003-0443-3412/employment/1466309",2016-01-12,2019-08-05,NA,NA,NA,NA,"https://orcid.org/0000-0003-0443-3412","0000-0003-0443-3412","orcid.org","Clare AM Sutherland","2015","06","15","University of Western Australia","Perth","WA","AU",NA,NA,NA,NA,NA,NA,NA,"2019","07","31",NA,NA,NA,NA,NA,NA,"0000-0003-0443-3412"
10993178,NA,"Evaluation specialist",NA,NA,NA,"1","public","/0000-0001-6618-9887/employment/10993178",2020-05-14,2020-05-14,NA,NA,NA,NA,"https://orcid.org/0000-0001-6618-9887","0000-0001-6618-9887","orcid.org","Barbora Hubena","2020",NA,NA,"Ministerstvo zdravotnictví České republiky","Praha",NA,"CZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0001-6618-9887"
10993429,"Destigmatizace, MERRPS","Researcher",NA,NA,NA,"1","public","/0000-0001-6618-9887/employment/10993429",2020-05-14,2020-05-14,NA,NA,NA,NA,"https://orcid.org/0000-0001-6618-9887","0000-0001-6618-9887","orcid.org","Barbora Hubena","2018",NA,NA,"Národní ústav duševního zdraví","Praha",NA,"CZ",NA,NA,NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0001-6618-9887"
4394400,"Coordination of distance education","Full time professor",NA,NA,NA,"1","public","/0000-0002-3527-1500/employment/4394400",2017-08-02,2022-03-14,NA,NA,NA,NA,"https://orcid.org/0000-0002-3527-1500","0000-0002-3527-1500","orcid.org","ANABEL DE LA ROSA GOMEZ","2015","03","01","Universidad Nacional Autónoma de México Facultad de Estudios Superiores Iztacala","Tlalnepantla","Mexico","MX","42634","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-3527-1500"
